variable_name,test_statistic (Pearson r),p-value,significant_relationship
SEED,-0.517348138481045,2.1875524042270107e-64,True
ROUND,-0.35785004160487777,2.6773432803834976e-29,True
NET RPI,-0.5851347667117327,5.457115683773219e-86,True
RESUME,-0.3969170987148767,3.131446447609073e-36,True
WAB RANK,-0.634549991798917,2.8613250286670577e-105,True
ELO,-0.7349218176174811,1.0870784427974884e-157,True
B POWER,-0.5130636532538999,3.5223258483917274e-63,True
Q1 W,0.29432754939635164,6.371417344057178e-20,True
Q2 W,0.353523540551609,1.3751481038470206e-28,True
Q1 PLUS Q2 W,0.38003817446053495,4.0450771650687205e-33,True
Q3 Q4 L,-0.5392292842626989,7.941428247059642e-71,True
PLUS 500,0.9823716312523489,0.0,True
R SCORE,0.3531529145134762,1.5802126547057245e-28,True
ShootingSplits_DUNKS FG%,0.1467308680441945,7.518515375838319e-06,True
ShootingSplits_DUNKS SHARE,0.18815080001951506,8.258618893709352e-09,True
ShootingSplits_DUNKS FG%D,-0.09430085401172447,0.004117548475481942,False
ShootingSplits_DUNKS D SHARE,-0.21008135606270845,1.123083887422903e-10,True
ShootingSplits_CLOSE TWOS FG%,0.3786402271491034,7.186815415021348e-33,True
ShootingSplits_CLOSE TWOS SHARE,0.03433895041284433,0.297083425543418,False
ShootingSplits_CLOSE TWOS FG%D,-0.17235530018984127,1.352738695833067e-07,True
ShootingSplits_CLOSE TWOS D SHARE,-0.16594008600647608,3.92579598301025e-07,True
ShootingSplits_FARTHER TWOS FG%,0.18209001067949232,2.486276656406707e-08,True
ShootingSplits_FARTHER TWOS SHARE,-0.04446463843237013,0.1768728624288095,False
ShootingSplits_FARTHER TWOS FG%D,-0.1511274727941953,3.94639961647286e-06,True
ShootingSplits_FARTHER TWOS D SHARE,0.19770681339962407,1.3480721744755042e-09,True
ShootingSplits_THREES FG%,0.2943953607417774,6.242913445450244e-20,True
ShootingSplits_THREES SHARE,0.021970505571442568,0.5047580629224651,False
ShootingSplits_THREES FG%D,-0.25206283064899904,7.39159009772565e-15,True
ShootingSplits_THREES D SHARE,-0.0805693651049158,0.014294949384854642,False
ShootingSplits_DUNKS FG% RANK,-0.1472348123393481,6.989570764280375e-06,True
ShootingSplits_DUNKS SHARE RANK,-0.17633411982090788,6.845982919330533e-08,True
ShootingSplits_DUNKS FG%D RANK,-0.12035618896462522,0.0002455124982119356,False
ShootingSplits_DUNKS D SHARE RANK,-0.21185744560607464,7.760498232110469e-11,True
ShootingSplits_CLOSE TWOS FG% RANK,-0.3629113084945659,3.82229709404023e-30,True
ShootingSplits_CLOSE TWOS SHARE RANK,-0.046674306378778826,0.15629934854123037,False
ShootingSplits_CLOSE TWOS FG%D RANK,-0.1775354508665959,5.5564911854779576e-08,True
