variable_name,test_statistic (Pearson r),p-value,significant_relationship
ShootingSplits_CLOSE TWOS D SHARE RANK,-0.16626178866831454,3.7251101813867934e-07,True
ShootingSplits_FARTHER TWOS FG% RANK,-0.2140038780895439,4.94310896384497e-11,True
ShootingSplits_FARTHER TWOS SHARE RANK,0.08777113328350636,0.0075952202105427505,False
ShootingSplits_FARTHER TWOS FG%D RANK,-0.11768603549849961,0.0003371197096428356,False
ShootingSplits_FARTHER TWOS D SHARE RANK,0.20511712605084065,3.1015484226588315e-10,True
ShootingSplits_THREES FG% RANK,-0.2860621763833326,7.329595961502923e-19,True
ShootingSplits_THREES SHARE RANK,-0.04022960128077933,0.22181608565431327,False
ShootingSplits_THREES FG%D RANK,-0.24288798302314743,7.125628982371466e-14,True
ShootingSplits_THREES D SHARE RANK,-0.06403796507819534,0.05166096350754798,False
TeamRankings_Away_TR RANK,-0.5060603445211319,3.0401800179721297e-61,True
TeamRankings_Away_TR RATING,0.5150161892564724,9.976199059512752e-64,True
TeamRankings_Away_V 1-25 WINS,0.20759378654542873,1.8743820560206242e-10,True
TeamRankings_Away_V 1-25 LOSS,-0.2748836648467229,1.7563345679334392e-17,True
TeamRankings_Away_V 26-50 WINS,0.1505967939059885,4.269852876435622e-06,True
TeamRankings_Away_V 26-50 LOSS,-0.25316005421101606,5.6022330536399365e-15,True
TeamRankings_Away_V 51-100 WINS,0.3089050855214739,7.027853122042196e-22,True
TeamRankings_Away_V 51-100 LOSS,-0.31661264924872207,5.840010668030149e-23,True
TeamRankings_Away_HI,-0.3089576363322226,6.911365760365228e-22,True
TeamRankings_Away_LO,-0.34215972045292364,8.97474776940239e-27,True
TeamRankings_Away_LAST,-0.5060153056523722,3.12755627862003e-61,True
TeamRankings_Home_TR RANK,-0.4659605271668121,5.534990708454335e-51,True
TeamRankings_Home_TR RATING,0.4613511471311539,6.878811805932097e-50,True
TeamRankings_Home_V 1-25 WINS,0.058733376532134486,0.07434830644811863,False
TeamRankings_Home_V 1-25 LOSS,-0.22809659854292536,2.2692225442929612e-12,True
TeamRankings_Home_V 26-50 WINS,0.1471519472181307,7.074034749725611e-06,True
TeamRankings_Home_V 26-50 LOSS,-0.18225689892277264,2.4131400262539577e-08,True
TeamRankings_Home_V 51-100 WINS,0.18579137941687943,1.273889907003439e-08,True
TeamRankings_Home_V 51-100 LOSS,-0.25038446194957864,1.126564145684716e-14,True
TeamRankings_Home_HI,-0.2834254950040065,1.5709144496728693e-18,True
TeamRankings_Home_LO,-0.3176886122710313,4.102508388780295e-23,True
TeamRankings_Home_LAST,-0.4656296702972501,6.640949172528242e-51,True
TeamRankings_Neutral_TR RANK,-0.38693155791528944,2.2813560086630997e-34,True
TeamRankings_Neutral_TR RATING,0.41297117846149234,2.315943170211189e-39,True
TeamRankings_Neutral_V 1-25 WINS,0.24821147861777715,1.9351269812928792e-14,True
TeamRankings_Neutral_V 1-25 LOSS,-0.06704559693896715,0.041595567170613294,False
TeamRankings_Neutral_V 26-50 WINS,0.21143808625757343,8.470696663524835e-11,True
TeamRankings_Neutral_V 26-50 LOSS,-0.05802996370973905,0.07789100415490521,False
TeamRankings_Neutral_V 51-100 WINS,0.23594731985347667,3.7224540547425597e-13,True
TeamRankings_Neutral_V 51-100 LOSS,-0.09794697079463435,0.0028780738533257487,False
TeamRankings_Neutral_HI,-0.30126626312879173,7.698796881907625e-21,True
TeamRankings_Neutral_LO,-0.3290152904934347,9.126211079202215e-25,True
TeamRankings_Neutral_LAST,-0.3842768845351534,6.9602468542563e-34,True
KenPom_Barttorvik_K TEMPO,-0.03144048001706481,0.3397546426077421,False
KenPom_Barttorvik_K TEMPO RANK,0.011132803111081292,0.7353931043253185,False
KenPom_Barttorvik_KADJ T,-0.03728615907327304,0.25752488813215685,False
KenPom_Barttorvik_KADJ T RANK,-0.00038814495753106484,0.990599051374283,False
KenPom_Barttorvik_K OFF,0.5636748811311079,1.3226715665763082e-78,True
KenPom_Barttorvik_KO RANK,-0.5653542552460806,3.6559629349964005e-79,True
KenPom_Barttorvik_KADJ O,0.46514923127529295,8.648813619742917e-51,True
KenPom_Barttorvik_KADJ O RANK,-0.459098836926385,2.3239082361166737e-49,True
KenPom_Barttorvik_K DEF,-0.5187985812380248,8.462053668758888e-65,True
KenPom_Barttorvik_KD RANK,-0.5009626733017549,7.313197491098256e-60,True
KenPom_Barttorvik_KADJ D,-0.4383507741448306,1.1344879832694422e-44,True
KenPom_Barttorvik_KADJ D RANK,-0.42804885630212575,1.8404085016561822e-42,True
KenPom_Barttorvik_KADJ EM,0.5746811275644639,2.5254357189715788e-82,True
KenPom_Barttorvik_KADJ EM RANK,-0.5186330202365079,9.433209994599868e-65,True
KenPom_Barttorvik_BADJ EM,0.5463683184034136,4.947638400901834e-73,True
KenPom_Barttorvik_BADJ O,0.4389199524362438,8.520333031872231e-45,True
KenPom_Barttorvik_BADJ D,-0.423947362364939,1.3298112954639837e-41,True
KenPom_Barttorvik_BARTHAG,0.5070435909986892,1.6360279515600897e-61,True
KenPom_Barttorvik_GAMES,0.14930369874688162,5.167598442950601e-06,True
KenPom_Barttorvik_W,0.5595788594678838,2.9523959090701875e-77,True
KenPom_Barttorvik_L,-0.4284225328967418,1.53488002699313e-42,True
KenPom_Barttorvik_EFG%,0.4462681916228653,2.012612677385086e-46,True
KenPom_Barttorvik_EFG%D,-0.37882679911411504,6.657229171377987e-33,True
KenPom_Barttorvik_FTR,0.012010341636244426,0.7154087221291985,False
KenPom_Barttorvik_FTRD,-0.18262918145503812,2.2574258342033625e-08,True
KenPom_Barttorvik_TOV%,-0.23396626208890306,5.910581965853841e-13,True
KenPom_Barttorvik_TOV%D,0.129886033811257,7.506481576928619e-05,True
KenPom_Barttorvik_OREB%,0.17634055949570338,6.838354548724547e-08,True
KenPom_Barttorvik_DREB%,0.2259914963150566,3.643613030009725e-12,True
KenPom_Barttorvik_OP OREB%,-0.2259914963150567,3.643613030009725e-12,True
KenPom_Barttorvik_OP DREB%,-0.17634055949570338,6.838354548724547e-08,True
KenPom_Barttorvik_RAW T,-0.0372211541786778,0.2583560505662872,False
KenPom_Barttorvik_2PT%,0.4132057636789886,2.078251999625123e-39,True
KenPom_Barttorvik_2PT%D,-0.321053959406159,1.34682895940226e-23,True
KenPom_Barttorvik_3PT%,0.29804120888897023,2.0707657465020058e-20,True
KenPom_Barttorvik_3PT%D,-0.2532342381435726,5.497960002187696e-15,True
KenPom_Barttorvik_BLK%,0.13944167948570216,2.1024808697396748e-05,True
KenPom_Barttorvik_BLKED%,-0.2323546057973518,8.583024585643863e-13,True
KenPom_Barttorvik_AST%,0.19429422269951843,2.6027140363843842e-09,True
KenPom_Barttorvik_OP AST%,-0.20677012094967395,2.2176972023592426e-10,True
KenPom_Barttorvik_2PTR,-0.023791134992969913,0.47010318007547447,False
KenPom_Barttorvik_3PTR,0.02379113499296993,0.4701031800754704,False
KenPom_Barttorvik_2PTRD,0.08321177345056664,0.01139376044382493,False
KenPom_Barttorvik_3PTRD,-0.08321177345056666,0.01139376044382493,False
KenPom_Barttorvik_BADJ T,-0.021012778259280752,0.5235134097770474,False
KenPom_Barttorvik_AVG HGT,0.11848435733627997,0.00030683673788933736,False
KenPom_Barttorvik_EFF HGT,0.10781334383972899,0.0010293572785179225,False
KenPom_Barttorvik_EXP,0.007531505986681066,0.8191554945390163,False
KenPom_Barttorvik_TALENT,0.13764416743380742,2.6886095927526915e-05,True
KenPom_Barttorvik_FT%,0.07550139712622819,0.021720876415953067,False
KenPom_Barttorvik_OP FT%,-0.13089952748703568,6.585135102685738e-05,True
KenPom_Barttorvik_PPPO,0.5712613675744146,3.740947371547841e-81,True
KenPom_Barttorvik_PPPD,-0.5187781687905166,8.576193810766695e-65,True
KenPom_Barttorvik_ELITE SOS,-0.004840203652101992,0.8831863638332639,False
KenPom_Barttorvik_WAB,0.6860952733273833,1.5812841695534515e-129,True
KenPom_Barttorvik_BADJ EM RANK,-0.4997166894510407,1.5782199143551517e-59,True
KenPom_Barttorvik_BADJ O RANK,-0.4403420789804029,4.1566362117194754e-45,True
KenPom_Barttorvik_BADJ D RANK,-0.4111860313123627,5.264929190653002e-39,True
KenPom_Barttorvik_BARTHAG RANK,-0.4999446751242164,1.371341159630489e-59,True
KenPom_Barttorvik_EFG% RANK,-0.4564339708300712,9.698023347798274e-49,True
KenPom_Barttorvik_EFGD% RANK,-0.3569516464283905,3.7685594778898194e-29,True
KenPom_Barttorvik_FTR RANK,0.003099410345154919,0.925040356486655,False
KenPom_Barttorvik_FTRD RANK,-0.20929949488567978,1.3201627230559636e-10,True
KenPom_Barttorvik_TOV% RANK,-0.2891397463866787,2.9796935027454212e-19,True
KenPom_Barttorvik_TOV%D RANK,-0.09874365724491871,0.0026572900805976085,False
KenPom_Barttorvik_OREB% RANK,-0.16087613602855155,8.849131770856079e-07,True
KenPom_Barttorvik_DREB% RANK,-0.27986351039480106,4.343321580199224e-18,True
KenPom_Barttorvik_OP OREB% RANK,-0.27986351039480106,4.343321580199224e-18,True
KenPom_Barttorvik_OP DREB% RANK,-0.16087613602855155,8.849131770856079e-07,True
KenPom_Barttorvik_RAW T RANK,0.013218355459571073,0.6882163083005275,False
KenPom_Barttorvik_2PT% RANK,-0.4290152746958503,1.1503032908340798e-42,True
KenPom_Barttorvik_2PT%D RANK,-0.3000018801907338,1.136416180242493e-20,True
KenPom_Barttorvik_3PT% RANK,-0.28983267894205733,2.429341979824604e-19,True
KenPom_Barttorvik_3PT%D RANK,-0.24543429279096107,3.8345916967563774e-14,True
KenPom_Barttorvik_BLK% RANK,-0.11985275846450914,0.0002607676162049546,False
KenPom_Barttorvik_BLKED% RANK,-0.2392230559670952,1.7170209031790206e-13,True
KenPom_Barttorvik_AST% RANK,-0.18527287908380366,1.4001409705261405e-08,True
KenPom_Barttorvik_OP AST% RANK,-0.2164351443473423,2.948511111314467e-11,True
KenPom_Barttorvik_2PTR RANK,0.04155455787884463,0.20695438289638668,False
KenPom_Barttorvik_3PTR RANK,-0.0436289384314567,0.18515767237975841,False
KenPom_Barttorvik_2PTRD RANK,0.064324024722779,0.050623354970339256,False
KenPom_Barttorvik_3PTRD RANK,-0.06663053503115773,0.0428774486814639,False
KenPom_Barttorvik_BADJT RANK,-0.0003994865839189454,0.9903243681639452,False
KenPom_Barttorvik_AVG HGT RANK,-0.12682053478697614,0.00011090302281326233,True
KenPom_Barttorvik_EFF HGT RANK,-0.0913474579545749,0.005456429442223117,False
KenPom_Barttorvik_EXP RANK,-0.030635990222348523,0.35226173063993427,False
KenPom_Barttorvik_TALENT RANK,-0.14384378352738722,1.1366405451079517e-05,True
KenPom_Barttorvik_FT% RANK,-0.0991183571803221,0.002558891715259467,False
KenPom_Barttorvik_OP FT% RANK,-0.11102275133945179,0.0007230474507255054,False
KenPom_Barttorvik_PPPO RANK,-0.5680592710757719,4.536482705050532e-80,True
KenPom_Barttorvik_PPPD RANK,-0.5015038832938119,5.230860072512776e-60,True
KenPom_Barttorvik_ELITE SOS RANK,-0.061323526811180036,0.06241945536016342,False
Barttorvik_Away_BADJ EM,0.5486748966699622,9.34095973207904e-74,True
Barttorvik_Away_BADJ O,0.41525533306415363,8.039101963512513e-40,True
Barttorvik_Away_BADJ D,-0.40096634301495926,5.2736827232685385e-37,True
Barttorvik_Away_BARTHAG,0.5159643655316165,5.390492253806236e-64,True
Barttorvik_Away_GAMES,-0.1985569544303895,1.1421901328116762e-09,True
Barttorvik_Away_W,0.6164384473012442,8.366582449044408e-98,True
Barttorvik_Away_L,-0.7998268424505214,1.3355272299318588e-206,True
Barttorvik_Away_WIN%,0.805841704236143,4.810375733301305e-212,True
Barttorvik_Away_EFG%,0.4176349653260425,2.6466012328381605e-40,True
Barttorvik_Away_EFG%D,-0.3804927103387634,3.353553744148835e-33,True
Barttorvik_Away_FTR,0.07643192772134373,0.020147796716097097,False
Barttorvik_Away_FTRD,-0.16892468869702276,2.4033993816432416e-07,True
Barttorvik_Away_TOV%,-0.19455641166491972,2.4754645355179996e-09,True
Barttorvik_Away_TOV%D,0.0822342067272975,0.012399854086994965,False
Barttorvik_Away_OREB%,0.15176793914664172,3.587204972049837e-06,True
Barttorvik_Away_DREB%,0.18297745266728582,2.1205997629084813e-08,True
Barttorvik_Away_OP OREB%,-0.18297745266728577,2.1205997629084813e-08,True
Barttorvik_Away_OP DREB%,-0.15176793914664174,3.587204972049837e-06,True
Barttorvik_Away_RAW T,-0.0794843035014573,0.015663320331258748,False
Barttorvik_Away_2PT%,0.36738688236016204,6.637705973733033e-31,True
Barttorvik_Away_2PT%D,-0.3477220049017774,1.186059961158066e-27,True
Barttorvik_Away_3PT%,0.2562302153301308,2.5612805688168514e-15,True
Barttorvik_Away_3PT%D,-0.19869669155356504,1.1114180233301776e-09,True
Barttorvik_Away_BLK%,0.16457684148301538,4.897922436832165e-07,True
Barttorvik_Away_BLKED%,-0.164109293529584,5.281839362982682e-07,True
Barttorvik_Away_AST%,0.17771727849582247,5.3830526824588694e-08,True
Barttorvik_Away_OP AST%,-0.2560166031827037,2.7055378886506725e-15,True
Barttorvik_Away_2PTR,-0.007724836882909997,0.8145965598985685,False
Barttorvik_Away_3PTR,0.007724836882909974,0.8145965598985685,False
Barttorvik_Away_2PTRD,0.09062390622036356,0.005839265072687889,False
Barttorvik_Away_3PTRD,-0.09062390622036363,0.005839265072687889,False
Barttorvik_Away_BADJ T,-0.06865442187447192,0.03692873174153124,False
Barttorvik_Away_AVG HGT,0.11848435733627997,0.00030683673788933736,False
Barttorvik_Away_EFF HGT,0.10781334383972899,0.0010293572785179225,False
Barttorvik_Away_EXP,0.007531505986681066,0.8191554945390163,False
Barttorvik_Away_TALENT,0.13764411352172568,2.6886293002835976e-05,True
Barttorvik_Away_FT%,0.09796046156316124,0.0028742000495127025,False
Barttorvik_Away_OP FT%,-0.09417794323432885,0.0041667111404610135,False
Barttorvik_Away_PPPO,0.5323647695073617,9.35948116529039e-69,True
Barttorvik_Away_PPPD,-0.46497820464217887,9.500637176444993e-51,True
Barttorvik_Away_ELITE SOS,-0.023322734106455092,0.47889161776933625,False
Barttorvik_Away_WAB,0.6504402873026551,3.037241908302412e-112,True
Barttorvik_Away_BADJ EM RANK,-0.5059649114129108,3.228286105204597e-61,True
Barttorvik_Away_BADJ O RANK,-0.4229402211478741,2.1522149072141758e-41,True
Barttorvik_Away_BADJ D RANK,-0.39006247130606947,6.041038518487928e-35,True
Barttorvik_Away_BARTHAG RANK,-0.5063909345629553,2.4689758421106054e-61,True
Barttorvik_Away_EFG% RANK,-0.4158156626251848,6.193531887489974e-40,True
Barttorvik_Away_EFGD% RANK,-0.36312981252191445,3.5114322052557166e-30,True
Barttorvik_Away_FTR RANK,-0.06227448213188233,0.058457045026486375,False
Barttorvik_Away_FTRD RANK,-0.1968087248389088,1.6047264818812469e-09,True
Barttorvik_Away_TOV% RANK,-0.23662606534090952,3.174023489876428e-13,True
Barttorvik_Away_TOV%D RANK,-0.04952722728657522,0.13248284856114173,False
Barttorvik_Away_OREB% RANK,-0.13782472138077106,2.623371929462226e-05,True
Barttorvik_Away_DREB% RANK,-0.209414668008141,1.289144305802265e-10,True
Barttorvik_Away_OP OREB% RANK,-0.209414668008141,1.289144305802265e-10,True
Barttorvik_Away_OP DREB% RANK,-0.13782472138077106,2.623371929462226e-05,True
Barttorvik_Away_RAW T RANK,0.06075579901591739,0.06488901458001418,False
Barttorvik_Away_2PT% RANK,-0.36573608737635416,1.2701519297865496e-30,True
Barttorvik_Away_2PT%D RANK,-0.339140760570219,2.646413216474745e-26,True
Barttorvik_Away_3PT% RANK,-0.25613276961795683,2.6261248658414212e-15,True
Barttorvik_Away_3PT%D RANK,-0.16717980668791485,3.2052997805885397e-07,True
Barttorvik_Away_BLK% RANK,-0.15084007555405352,4.118541753384813e-06,True
Barttorvik_Away_BLKED% RANK,-0.16948139528885006,2.1910865229694128e-07,True
Barttorvik_Away_AST% RANK,-0.17231959987033768,1.3609345533317396e-07,True
Barttorvik_Away_OP AST% RANK,-0.2514823286633471,8.554436350724206e-15,True
Barttorvik_Away_2PTR RANK,0.020039602377459283,0.5429303770974703,False
Barttorvik_Away_3PTR RANK,-0.022297293421810707,0.4984403948218675,False
Barttorvik_Away_2PTRD RANK,0.07107945340312519,0.030738883442395167,False
Barttorvik_Away_3PTRD RANK,-0.07274966533180079,0.027012607736649017,False
Barttorvik_Away_BADJT RANK,0.046491901044325226,0.15792581439277412,False
Barttorvik_Away_AVG HGT RANK,-0.12682053478697614,0.00011090302281326233,True
Barttorvik_Away_EFF HGT RANK,-0.0913474579545749,0.005456429442223117,False
Barttorvik_Away_EXP RANK,-0.030635990222348523,0.35226173063993427,False
Barttorvik_Away_TALENT RANK,-0.14384378352738722,1.1366405451079517e-05,True
Barttorvik_Away_FT% RANK,-0.10721295720728351,0.001098541626896161,False
Barttorvik_Away_OP FT% RANK,-0.08390510543494481,0.010724729874048449,False
Barttorvik_Away_PPPO RANK,-0.5207863455986586,2.2852802846071136e-65,True
Barttorvik_Away_PPPD RANK,-0.43741489933170596,1.814423854009206e-44,True
Barttorvik_Away_ELITE SOS RANK,-0.04082619366495587,0.2150324044212485,False
Barttorvik_Home_BADJ EM,0.5011298011975334,6.594678301069618e-60,True
Barttorvik_Home_BADJ O,0.39825535177416194,1.7428081526847957e-36,True
Barttorvik_Home_BADJ D,-0.36534997258886676,1.4775409144191153e-30,True
Barttorvik_Home_BARTHAG,0.4770590633448748,1.0924092812222549e-53,True
Barttorvik_Home_GAMES,0.17737600280730664,5.71302187591121e-08,True
Barttorvik_Home_W,0.5192739272376231,6.1924249170874454e-65,True
Barttorvik_Home_L,-0.6703671658447846,1.3210543722214568e-121,True
Barttorvik_Home_WIN%,0.7068869014041228,8.303568260848726e-141,True
Barttorvik_Home_EFG%,0.34669406302788575,1.7293156056524038e-27,True
Barttorvik_Home_EFG%D,-0.26992597940654417,6.861330152614344e-17,True
Barttorvik_Home_FTR,-0.04231320307506835,0.1987767437740305,False
Barttorvik_Home_FTRD,-0.1479509531411565,6.298669456659508e-06,True
Barttorvik_Home_TOV%,-0.23123595480574796,1.1101515400048537e-12,True
Barttorvik_Home_TOV%D,0.1357093202369267,3.4915268451902635e-05,True
Barttorvik_Home_OREB%,0.1783895732777771,4.7861296493745864e-08,True
Barttorvik_Home_DREB%,0.1866869360765528,1.0813665766209766e-08,True
Barttorvik_Home_OP OREB%,-0.1866869360765527,1.0813665766210504e-08,True
Barttorvik_Home_OP DREB%,-0.1783895732777771,4.7861296493745864e-08,True
Barttorvik_Home_RAW T,-0.007555502859642285,0.8185892891892141,False
Barttorvik_Home_2PT%,0.33725797433839766,5.1633479274325494e-26,True
Barttorvik_Home_2PT%D,-0.22865555790875394,1.999526218312352e-12,True
Barttorvik_Home_3PT%,0.20165505599465525,6.205019291630512e-10,True
Barttorvik_Home_3PT%D,-0.16296348303196243,6.349110782378498e-07,True
Barttorvik_Home_BLK%,0.11110779845509748,0.0007162210176196432,False
Barttorvik_Home_BLKED%,-0.18373426842506707,1.850414064711416e-08,True
Barttorvik_Home_AST%,0.141309668512965,1.62313310959077e-05,True
Barttorvik_Home_OP AST%,-0.09331213854674246,0.004528357711225058,False
Barttorvik_Home_2PTR,-0.036533910137787715,0.26725688441303025,False
Barttorvik_Home_3PTR,0.036533910137787715,0.26725688441303025,False
Barttorvik_Home_2PTRD,0.06337091903663074,0.05414967437899534,False
Barttorvik_Home_3PTRD,-0.06337091903663072,0.05414967437899534,False
Barttorvik_Home_BADJ T,0.006298963549660572,0.8483574462102973,False
Barttorvik_Home_AVG HGT,0.11848435733627997,0.00030683673788933736,False
Barttorvik_Home_EFF HGT,0.10781334383972899,0.0010293572785179225,False
Barttorvik_Home_EXP,0.007531505986681066,0.8191554945390163,False
Barttorvik_Home_TALENT,0.13764411352172568,2.6886293002835976e-05,True
Barttorvik_Home_FT%,0.051354853059719624,0.11876728421847975,False
Barttorvik_Home_OP FT%,-0.1269465236468246,0.00010915687391119288,True
Barttorvik_Home_PPPO,0.47868019706486675,4.314426917269569e-54,True
Barttorvik_Home_PPPD,-0.4052945045605564,7.64317652383831e-38,True
Barttorvik_Home_ELITE SOS,0.006809051688534094,0.8362445698361083,False
Barttorvik_Home_WAB,0.545506804239422,9.191233681572562e-73,True
Barttorvik_Home_BADJ EM RANK,-0.47312024303484856,1.022555960942268e-52,True
Barttorvik_Home_BADJ O RANK,-0.4090938112180749,1.3698395606749146e-38,True
Barttorvik_Home_BADJ D RANK,-0.3530098296284526,1.6672438833956098e-28,True
Barttorvik_Home_BARTHAG RANK,-0.47272081806952215,1.280791021398284e-52,True
Barttorvik_Home_EFG% RANK,-0.35941040335745145,1.4746882638923524e-29,True
Barttorvik_Home_EFGD% RANK,-0.25411110392048913,4.401021584660753e-15,True
Barttorvik_Home_FTR RANK,0.05974215379558304,0.06949817532017384,False
Barttorvik_Home_FTRD RANK,-0.16626055375276377,3.7258613086830874e-07,True
Barttorvik_Home_TOV% RANK,-0.27027740895280244,6.235328529846083e-17,True
Barttorvik_Home_TOV%D RANK,-0.09861858894045299,0.002690894529519491,False
Barttorvik_Home_OREB% RANK,-0.15920161486831716,1.1514649587570804e-06,True
Barttorvik_Home_DREB% RANK,-0.23418917681202445,5.612118633911217e-13,True
Barttorvik_Home_OP OREB% RANK,-0.23418917681202445,5.612118633911217e-13,True
Barttorvik_Home_OP DREB% RANK,-0.15920161486831716,1.1514649587570804e-06,True
Barttorvik_Home_RAW T RANK,-0.01923444327324436,0.559261336262542,False
Barttorvik_Home_2PT% RANK,-0.3487461753451534,8.13454258113049e-28,True
Barttorvik_Home_2PT%D RANK,-0.20622160664720396,2.4795753270813726e-10,True
Barttorvik_Home_3PT% RANK,-0.18769770677692416,8.979268160066708e-09,True
Barttorvik_Home_3PT%D RANK,-0.16365512194189102,5.682411731004453e-07,True
Barttorvik_Home_BLK% RANK,-0.09346841117555502,0.004461053777325472,False
Barttorvik_Home_BLKED% RANK,-0.18446943219562528,1.6200757870361812e-08,True
Barttorvik_Home_AST% RANK,-0.13658793498763377,3.102194033664984e-05,True
Barttorvik_Home_OP AST% RANK,-0.10721216221874905,0.0010986360163321132,False
Barttorvik_Home_2PTR RANK,0.06322616552226826,0.05470272964010381,False
Barttorvik_Home_3PTR RANK,-0.06538753586636828,0.046917384264026536,False
Barttorvik_Home_2PTRD RANK,0.0475854789589643,0.14836406054572737,False
Barttorvik_Home_3PTRD RANK,-0.05015097950364898,0.12767045225296533,False
Barttorvik_Home_BADJT RANK,-0.03460286460376117,0.2933840571546749,False
Barttorvik_Home_AVG HGT RANK,-0.12682053478697614,0.00011090302281326233,True
Barttorvik_Home_EFF HGT RANK,-0.0913474579545749,0.005456429442223117,False
Barttorvik_Home_EXP RANK,-0.030635990222348523,0.35226173063993427,False
Barttorvik_Home_TALENT RANK,-0.14384378352738722,1.1366405451079517e-05,True
Barttorvik_Home_FT% RANK,-0.06868469735073987,0.03684536212296435,False
Barttorvik_Home_OP FT% RANK,-0.10738762095842991,0.001077984285640582,False
Barttorvik_Home_PPPO RANK,-0.4868686367384262,3.660836214524764e-56,True
Barttorvik_Home_PPPD RANK,-0.399694298911105,9.253391281957103e-37,True
Barttorvik_Home_ELITE SOS RANK,-0.11205803412279766,0.0006439087794208238,False
Barttorvik_Neutral_BADJ EM,0.418339369585071,1.9015620057437703e-40,True
Barttorvik_Neutral_BADJ O,0.27714701913625966,9.340308337517662e-18,True
Barttorvik_Neutral_BADJ D,-0.2586771544271951,1.3623664458008306e-15,True
Barttorvik_Neutral_BARTHAG,0.38371588844225785,8.79888432082716e-34,True
Barttorvik_Neutral_GAMES,0.13473209794348256,3.978843586718108e-05,True
Barttorvik_Neutral_W,0.2885341296630832,3.5602328068498413e-19,True
Barttorvik_Neutral_L,-0.22823659883243133,2.1985053292548788e-12,True
Barttorvik_Neutral_WIN%,0.2633686702362652,3.985779121005612e-16,True
Barttorvik_Neutral_EFG%,0.18668353041864288,1.0820422220069872e-08,True
Barttorvik_Neutral_EFG%D,-0.060991314265488955,0.0638549489454301,False
Barttorvik_Neutral_FTR,-0.027036732665461437,0.4117128680203264,False
Barttorvik_Neutral_FTRD,-0.12001900943486944,0.00025563432940711245,False
Barttorvik_Neutral_TOV%,-0.10885540448529901,0.0009187554026125962,False
Barttorvik_Neutral_TOV%D,0.04977683001650253,0.13054053615685984,False
Barttorvik_Neutral_OREB%,0.07017450683560483,0.0329359961536899,False
Barttorvik_Neutral_DREB%,0.1754456632433123,7.981205229313476e-08,True
Barttorvik_Neutral_OP OREB%,-0.17544566324331234,7.981205229313476e-08,True
Barttorvik_Neutral_OP DREB%,-0.07017450683560485,0.0329359961536899,False
Barttorvik_Neutral_RAW T,-0.007583047190186178,0.8179394981401434,False
Barttorvik_Neutral_2PT%,0.22230682853808192,8.252778224247845e-12,True
Barttorvik_Neutral_2PT%D,-0.07572765064912493,0.021328880563655627,False
